username,password,realm,char_index,class_id,class_name,roles,home_x,home_y,home_z,hub,specs
albtest002,dummy-pass,1,0,2,Armsman,tank|dps,531504,479073,2200,albion_hub,Slash|1;Thrust|1;Crush|50;Polearm|1;Shields|42;Two Handed|1;Parry|39;Crossbows|1
albtest003,dummy-pass,1,0,11,Mercenary,dps,531504,479073,2200,albion_hub,Slash|50;Thrust|1;Crush|1;Dual Wield|50;Parry|28
albtest005,dummy-pass,1,0,6,Cleric,healer|support,531504,479073,2200,albion_hub,Smite|1;Rejuvenation|40;Enhancement|36
albtest001,dummy-pass,1,0,1,Paladin,tank|support,531504,479073,2200,albion_hub,Slash|39;Thrust|1;Crush|1;Two Handed|1;Chants|48;Shields|42;Parry|13
albtest007,dummy-pass,1,0,7,Wizard,dps,531504,479073,2200,albion_hub,Fire Magic|50;Earth Magic|15;Cold Magic|10
albtest008,dummy-pass,1,0,5,Theurgist,support|dps,531504,479073,2200,albion_hub,Earth Magic|45;Cold Magic|25;Wind Magic|8
albtest012,dummy-pass,1,0,4,Minstrel,support|dps,531504,479073,2200,albion_hub,Instruments|44;Slash|39;Stealth|25
albtest029,dummy-pass,1,0,3,Scout,dps,531504,479073,2200,albion_hub,Longbows|50;Stealth|35;Shields|42;Slash|18
midtest001,dummy-pass,2,10,22,Warrior,tank|dps,774601,755307,4600,midgard_hub,Hammer|50;Shields|42;Parry|39;Sword|1;Axe|1;Thrown Weapons|1
midtest005,dummy-pass,2,10,26,Healer,healer|support,774601,755307,4600,midgard_hub,Mending|40;Augmentation|36;Pacification|1
midtest007,dummy-pass,2,10,28,Shaman,healer|support,774601,755307,4600,midgard_hub,Augmentation|40;Mending|36;Subterranean|1
midtest008,dummy-pass,2,10,29,Runemaster,dps,774601,755307,4600,midgard_hub,Runecarving|50;Darkness|15;Suppression|10
midtest004,dummy-pass,2,10,24,Skald,support|dps,774601,755307,4600,midgard_hub,Sword|44;Battlesongs|46;Parry|21;Hammer|1;Axe|1
hibtest001,dummy-pass,3,20,44,Hero,tank|dps,345677,490738,5200,hibernia_hub,Blades|50;Shields|42;Parry|39;Large Weapons|1;Celtic Spear|1
hibtest005,dummy-pass,3,20,47,Druid,healer|support,345677,490738,5200,hibernia_hub,Regrowth|40;Nurture|36;Nature|1
hibtest004,dummy-pass,3,20,48,Bard,healer|support,345677,490738,5200,hibernia_hub,Music|43;Nurture|37;Regrowth|33;Blades|1
hibtest007,dummy-pass,3,20,40,Eldritch,dps,345677,490738,5200,hibernia_hub,Light|50;Mana|15;Void|10
hibtest008,dummy-pass,3,20,41,Enchanter,dps,345677,490738,5200,hibernia_hub,Mana|50;Enchantments|20;Light|1
